(0, 0.0, 0.0, 0.0)
(62505, 16.448, 571.2, 9395.097600000001)
(62586, 4.288, 538.8, 2310.3744)
(62668, 4.324, 507.6, 2194.8624)
(62749, 4.228, 437.6, 1850.1728)
(62830, 4.308, 422.4, 1819.6991999999998)
(62912, 4.264, 436.0, 1859.104)
(62993, 4.256, 445.2, 1894.7712000000001)
(63074, 4.288, 421.2, 1806.1056)
(63156, 4.3, 439.6, 1890.28)
(63237, 4.224, 540.0, 2280.96)
(63318, 4.312, 524.8, 2262.9375999999997)
(63399, 4.284, 451.2, 1932.9407999999999)
(63481, 4.256, 475.6, 2024.1536)
(63562, 4.26, 480.8, 2048.208)
(63643, 4.256, 494.8, 2105.8688)
(63725, 4.308, 476.4, 2052.3311999999996)
(63806, 4.204, 482.4, 2028.0095999999999)
(63887, 4.272, 482.8, 2062.5216)
(63969, 4.276, 463.2, 1980.6431999999998)
(64050, 4.28, 566.4, 2424.192)
(64131, 4.192, 508.0, 2129.536)
(64213, 4.328, 478.8, 2072.2464)
(64294, 4.216, 478.0, 2015.248)
(64375, 4.3, 476.8, 2050.24)
(64457, 4.324, 560.4, 2423.1695999999997)
(64538, 4.268, 727.2, 3103.6896)
(64619, 4.192, 715.6, 2999.7952)
(64700, 4.284, 635.6, 2722.9103999999998)
(64782, 4.26, 626.0, 2666.7599999999998)
(64863, 4.208, 577.6, 2430.5408)
(64944, 4.312, 498.4, 2149.1008)
(65026, 4.272, 473.6, 2023.2192000000002)
(65107, 4.324, 492.4, 2129.1376)
(65188, 4.232, 464.0, 1963.6480000000001)
(65270, 4.3, 406.8, 1749.24)
(65351, 4.256, 409.6, 1743.2576000000001)
(65432, 4.28, 398.8, 1706.8640000000003)
(65514, 4.292, 390.4, 1675.5967999999998)
(59, 4.304, 398.0, 1712.9920000000002)
(140, 4.248, 408.0, 1733.1840000000002)
(222, 4.324, 496.4, 2146.4336)
(303, 4.308, 515.2, 2219.4816)
(384, 4.244, 478.0, 2028.6319999999998)
(465, 4.256, 502.4, 2138.2144)
(547, 4.264, 523.6, 2232.6304)
(628, 4.28, 500.4, 2141.712)
(709, 4.228, 507.6, 2146.1328)
(791, 4.292, 489.6, 2101.3632000000002)
(872, 4.268, 509.6, 2174.9728)
(953, 4.328, 543.2, 2350.9696000000004)
(1035, 4.24, 462.8, 1962.2720000000002)
(1116, 4.316, 476.0, 2054.4159999999997)
(1197, 4.196, 462.0, 1938.552)
(1279, 4.288, 451.2, 1934.7456)
(1360, 4.316, 448.8, 1937.0208)
(1441, 4.268, 458.4, 1956.4511999999997)
(1523, 4.256, 483.6, 2058.2016000000003)
(1604, 4.32, 498.0, 2151.36)
(1685, 4.288, 514.4, 2205.7472000000002)
(1766, 4.22, 469.2, 1980.024)
(1848, 4.34, 418.0, 1814.12)
(1929, 4.264, 433.2, 1847.1648)
(2010, 4.332, 459.6, 1990.9872)
(2092, 4.24, 451.6, 1914.784)
(2173, 4.292, 448.0, 1922.8159999999998)
(2254, 4.236, 451.2, 1911.2831999999999)
(2336, 4.288, 588.0, 2521.344)
(2417, 4.208, 678.8, 2856.3903999999998)
(2498, 4.244, 698.4, 2964.0096)
(2580, 4.204, 570.0, 2396.2799999999997)
(2661, 4.288, 524.0, 2246.9120000000003)
(2742, 4.332, 458.8, 1987.5216)
(2824, 4.228, 589.2, 2491.1376)
(2905, 4.268, 639.2, 2728.1056)
(2986, 4.284, 590.8, 2530.9871999999996)
(3067, 4.248, 581.2, 2468.9376)
(3149, 4.212, 586.4, 2469.9168)
(3230, 4.3, 580.0, 2494.0)
(3311, 4.22, 550.0, 2321.0)
(3393, 4.32, 536.4, 2317.248)
(3474, 4.236, 503.6, 2133.2496)
(3555, 4.308, 463.2, 1995.4655999999998)
(3637, 4.232, 456.0, 1929.7920000000001)
(3718, 4.272, 456.0, 1948.0320000000002)
(3799, 4.324, 447.6, 1935.4224)
(3881, 4.26, 454.0, 1934.04)
(3962, 4.272, 439.2, 1876.2624)
(4043, 4.332, 444.0, 1923.408)
(4125, 4.296, 485.6, 2086.1376)
(4206, 4.204, 467.6, 1965.7903999999999)
(4287, 4.312, 452.0, 1949.0240000000001)
(4368, 4.276, 452.8, 1936.1728)
(4450, 4.308, 451.6, 1945.4928)
(4531, 4.268, 428.8, 1830.1184)
(4612, 4.276, 425.6, 1819.8656)
(4694, 4.228, 447.2, 1890.7615999999998)
(4775, 4.316, 433.2, 1869.6912)
(4856, 4.28, 434.8, 1860.9440000000002)
(4938, 4.276, 443.2, 1895.1231999999998)
(5019, 4.244, 437.2, 1855.4768)
(5100, 4.276, 609.2, 2604.9392000000003)
(5182, 4.284, 648.0, 2776.0319999999997)
(5263, 4.192, 665.2, 2788.5184000000004)
(5344, 4.252, 569.2, 2420.2384)
(5426, 4.276, 630.8, 2697.3007999999995)
(5507, 4.244, 672.0, 2851.968)
(5588, 4.196, 622.0, 2609.912)
(5669, 4.304, 671.6, 2890.5664)
(5751, 4.2, 673.6, 2829.1200000000003)
(5832, 4.276, 667.6, 2854.6576)
(5913, 4.276, 622.0, 2659.672)
(5995, 4.252, 577.6, 2455.9552)
(6076, 4.24, 463.6, 1965.6640000000002)
(6157, 4.288, 456.4, 1957.0432)
(6239, 4.292, 443.6, 1903.9312)
(6320, 4.252, 444.8, 1891.2896)
(6401, 4.284, 461.2, 1975.7807999999998)
(6483, 4.316, 462.8, 1997.4448)
